id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect,taskresult_geomtime,taskresult_metatime,taskresult_geomcorrect,taskresult_metacorrect
283,4,False,False,b'',"id: 263, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 11:29:26.425970+00:00",3,24,False,191,10,154,37,5,5
266,2,True,False,b'',"id: 250, experienced: True, age: 23","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 10:18:33.379381+00:00",1,23,True,106,11,68,38,5,6
257,1,True,False,b'',"id: 245, experienced: True, age: 42","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 09:20:35.437170+00:00",2,42,True,198,8,160,38,4,4
647,1,True,False,b'',"id: 516, experienced: False, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 13:18:58.198327+00:00",1,45,False,77,11,39,38,6,5
438,2,True,False,b'',"id: 408, experienced: True, age: 37","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 07:26:01.251471+00:00",3,37,True,144,11,106,38,5,6
863,2,True,False,b'Getting harder with 3 buildings instead of 2',"id: 621, experienced: True, age: 35","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-20 16:12:22.099569+00:00",2,35,True,113,10,75,38,5,5
369,2,True,False,b'',"id: 350, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 18:36:50.114609+00:00",2,34,True,103,10,65,38,4,6
770,4,True,False,b'',"id: 579, experienced: False, age: 19","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 08:47:02.641157+00:00",2,19,False,98,11,60,38,6,5
198,5,True,False,b'',"id: 220, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:01:06.055626+00:00",3,25,False,84,11,46,38,5,6
207,5,True,False,b'Skal veranda v\xe6re med..? G\xe5r det som del av shape of building? Uklart...',"id: 224, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:48:54.633157+00:00",3,24,False,124,9,85,39,3,6
226,2,True,False,b'',"id: 232, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:18:50.394485+00:00",3,22,True,84,8,45,39,4,4
712,3,True,False,b'',"id: 553, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 15:46:13.467937+00:00",3,21,False,180,10,141,39,5,5
292,2,True,False,b'',"id: 265, experienced: True, age: 49","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 11:42:14.161811+00:00",2,49,True,140,12,101,39,6,6
804,1,True,False,b'',"id: 592, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 14:20:03.736344+00:00",1,25,True,101,12,62,39,6,6
649,1,True,False,b'',"id: 489, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 13:36:12.091835+00:00",1,24,False,137,9,98,39,4,5
599,2,True,False,b'',"id: 482, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:51:43.839381+00:00",3,24,False,197,11,158,39,5,6
788,1,True,False,b'',"id: 589, experienced: True, age: 52","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 10:33:16.535606+00:00",1,52,True,130,11,90,40,5,6
855,4,True,False,b'',"id: 615, experienced: True, age: 29","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-15 09:16:10.330337+00:00",1,29,True,123,9,83,40,4,5
794,3,True,False,b'',"id: 575, experienced: False, age: 21","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 11:48:56.924159+00:00",1,21,False,110,11,70,40,5,6
646,1,True,False,b'',"id: 516, experienced: False, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 13:17:08.626462+00:00",2,45,False,90,9,50,40,5,4
505,2,True,False,b'',"id: 443, experienced: True, age: 56","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 16:18:06.543575+00:00",3,56,True,215,9,175,40,5,4
560,1,True,False,b'',"id: 468, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 08:22:53.795407+00:00",2,21,False,207,12,167,40,6,6
603,3,True,False,b'',"id: 482, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:54:53.493710+00:00",2,24,False,156,12,115,41,6,6
631,2,True,False,b'',"id: 507, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 12:17:49.539578+00:00",2,22,True,105,6,64,41,2,4
418,4,True,False,b'',"id: 391, experienced: True, age: 44","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 21:54:12.877433+00:00",2,44,True,368,12,326,42,6,6
625,3,True,False,b'',"id: 506, experienced: False, age: 27","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 12:03:59.158559+00:00",1,27,False,131,8,89,42,4,4
372,2,True,False,b'',"id: 351, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 18:44:34.282617+00:00",2,40,True,161,9,119,42,5,4
274,2,True,False,"b""General comment to comments: Tried to type a longer comment to task 1, but the submit button didn't work then. Is there a hidden word limit on the comments?""","id: 249, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 10:43:48.649877+00:00",2,23,True,138,10,96,42,5,5
194,3,True,False,b'',"id: 219, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:56:48.185404+00:00",2,24,False,135,8,93,42,4,4
762,2,True,False,b'',"id: 573, experienced: True, age: 30","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 06:44:42.778540+00:00",2,30,True,133,10,90,43,6,4
654,2,True,False,b'',"id: 519, experienced: False, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 13:49:40.897635+00:00",2,23,False,123,10,80,43,5,5
583,2,True,False,b'',"id: 474, experienced: True, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:30:58.355734+00:00",2,45,True,126,9,83,43,4,5
693,2,True,False,b'',"id: 543, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 08:15:22.645484+00:00",3,21,False,101,8,58,43,3,5
687,1,True,False,b'',"id: 542, experienced: False, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 06:55:24.450464+00:00",3,22,False,124,11,81,43,5,6
401,2,True,False,b'',"id: 380, experienced: True, age: 38","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 20:32:01.159165+00:00",1,38,True,232,9,189,43,4,5
688,1,True,False,b'',"id: 542, experienced: False, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 06:55:24.450464+00:00",3,22,False,124,11,81,43,5,6
337,3,True,False,b'',"id: 303, experienced: False, age: 21","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:48:02.736642+00:00",1,21,False,148,10,105,43,6,4
