id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
361,2017-05-03 19:01:14.345753+00:00,"[4, 1, 3, 2]",3,2,165,121,286,5,4,9,"[15, 16, 17, 19, 20]","[15, 16, 17, 19]","id: 355, experienced: True, age: 29","id: 3, title: Building geometry and metadata"
667,2017-05-05 19:52:15.433360+00:00,"[4, 3, 1, 2]",3,1,226,61,287,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 537, experienced: True, age: 33","id: 3, title: Building geometry and metadata"
493,2017-05-04 19:17:01.570303+00:00,"[4, 3, 2, 1]",3,1,164,125,289,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 446, experienced: True, age: 47","id: 3, title: Building geometry and metadata"
333,2017-05-03 17:29:09.917252+00:00,"[4, 3, 2, 1]",3,1,157,133,290,5,3,8,"[1, 3, 4, 5, 6]","[1, 2, 4]","id: 333, experienced: True, age: 27","id: 3, title: Building geometry and metadata"
354,2017-05-03 18:41:25.739729+00:00,"[4, 3, 2, 1]",3,1,224,75,299,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 351, experienced: True, age: 40","id: 3, title: Building geometry and metadata"
558,2017-05-05 10:11:11.620016+00:00,"[4, 3, 2, 1]",3,1,115,188,303,5,4,9,"[15, 16, 17, 18, 19]","[17, 18, 19, 20]","id: 472, experienced: True, age: 34","id: 3, title: Building geometry and metadata"
229,2017-05-03 09:02:49.019616+00:00,"[4, 3, 2, 1]",3,1,241,81,322,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 244, experienced: False, age: 27","id: 3, title: Building geometry and metadata"
326,2017-05-03 16:21:57.847912+00:00,"[4, 2, 1, 3]",3,3,285,61,346,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19]","id: 306, experienced: True, age: 46","id: 3, title: Building geometry and metadata"
230,2017-05-03 09:06:22.164257+00:00,"[4, 3, 1, 2]",3,1,253,97,350,5,5,10,"[15, 16, 17, 19, 20]","[15, 17, 18, 19, 20]","id: 243, experienced: False, age: 54","id: 3, title: Building geometry and metadata"
366,2017-05-03 19:12:24.973602+00:00,"[4, 3, 2, 1]",3,1,218,140,358,4,5,9,"[10, 11, 12, 13]","[9, 10, 12, 13, 14]","id: 358, experienced: True, age: 23","id: 3, title: Building geometry and metadata"
694,2017-05-06 13:27:55.017042+00:00,"[4, 3, 1, 2]",3,1,156,209,365,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 551, experienced: False, age: 20","id: 3, title: Building geometry and metadata"
252,2017-05-03 10:41:22.223436+00:00,"[4, 1, 3, 2]",3,2,242,129,371,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 252, experienced: True, age: 24","id: 3, title: Building geometry and metadata"
623,2017-05-05 12:36:43.327825+00:00,"[4, 2, 1, 3]",3,3,113,331,444,6,6,12,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 508, experienced: False, age: 58","id: 3, title: Building geometry and metadata"
710,2017-05-07 08:03:53.039711+00:00,"[4, 1, 2, 3]",3,3,277,186,463,5,2,7,"[2, 3, 4, 5, 6]","[1, 2]","id: 556, experienced: True, age: 54","id: 3, title: Building geometry and metadata"
760,2017-05-08 08:48:55.928973+00:00,"[4, 1, 3, 2]",3,2,199,330,529,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 2, 4, 6]","id: 578, experienced: False, age: 19","id: 3, title: Building geometry and metadata"
586,2017-05-05 10:51:27.798926+00:00,"[4, 3, 1, 2]",3,1,417,241,658,5,5,10,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5]","id: 478, experienced: True, age: 54","id: 3, title: Building geometry and metadata"
548,2017-05-05 08:28:03.608795+00:00,"[4, 3, 2, 1]",3,1,224,528,752,6,4,10,"[9, 10, 11, 12, 13, 14]","[9, 12, 13, 14]","id: 466, experienced: True, age: 52","id: 3, title: Building geometry and metadata"
